MATRICULA_ALTA;MARCA_MODELO_ALTA;SOCIEDAD;COD_SOCIEDAD;CATEGORIA;FECHA_ADQUISICION;ORIGEN_FECHA_ALTA;MATRICULA_BAJA;MARCA_MODELO_BAJA;COMBUSTIBLE_BAJA;REGIMEN_BAJA;PROVEEDOR_BAJA;FECHA_BAJA;ORIGEN_FECHA_BAJA;DESFASE_DIAS;DIAS_POSESION;ESTADO_POSESION;R1_MISMA_SOCIEDAD;R2_POSESION;R3_BEV_VS_COMBUSTION;R4_MISMA_CATEGORIA;R5_VENTANA_TEMPORAL;R6_AMBITO_CAE;NIVEL;DOC_ALTA;DOC_BAJA;ACCION_PENDIENTE
6084MWV;CITROEN Ë-C3 ELÉCTRICO MAX;AVSA;1001;Turismo;2024-11-26;DOCUMENTO;9418LKC;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2025-01-22;DOCUMENTO;57;1546;ACREDITADA;OK (AVSA);OK 1546d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-01-22 en 2024-08-26..2025-05-26);OK (2024-11-26 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6089MWV;CITROEN Ë-C3 ELÉCTRICO MAX;AVSA;1001;Turismo;2024-11-28;DOCUMENTO;9504LDD;OPEL GRANDLAND X 1.5 CDTI 130 CV;DIESEL;RENTING;AYVENS;2025-05-21;DOCUMENTO;174;1979;ACREDITADA;OK (AVSA);OK 1979d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-05-21 en 2024-08-28..2025-05-28);OK (2024-11-28 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6094MWV;CITROEN Ë-C3 ELÉCTRICO MAX;AVSA;1001;Turismo;2024-11-27;DOCUMENTO;9494LKC;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2025-01-14;DOCUMENTO;48;1538;ACREDITADA;OK (AVSA);OK 1538d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-01-14 en 2024-08-27..2025-05-27);OK (2024-11-27 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6097MWV;CITROEN Ë-C3 ELÉCTRICO MAX;AVSA;1001;Turismo;2024-11-28;DOCUMENTO;1451LDY;OPEL GRANDLAND X 1.5 CDTI 130 CV AUTO;DIESEL;RENTING;AYVENS;2025-05-21;DOCUMENTO;174;1938;ACREDITADA;OK (AVSA);OK 1938d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-05-21 en 2024-08-28..2025-05-28);OK (2024-11-28 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6124MWV;CITROEN Ë-C3 ELÉCTRICO MAX;ISG;1053;Turismo;2024-11-26;DOCUMENTO;9276LMB;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2025-02-05;DOCUMENTO;71;1478;ACREDITADA;OK (ISG);OK 1478d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-02-05 en 2024-08-26..2025-05-26);OK (2024-11-26 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6126MWV;CITROEN Ë-C3 ELÉCTRICO MAX;ISG;1053;Turismo;2024-11-26;DOCUMENTO;3043KBJ;VOLKSWAGEN CADDY 4*4 2.0 TDI 122 CV;DIESEL;RENTING;AYVENS;2025-05-22;DOCUMENTO;177;2876;ACREDITADA;OK (ISG);OK 2876d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-05-22 en 2024-08-26..2025-05-26);OK (2024-11-26 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6128MWV;CITROEN Ë-C3 ELÉCTRICO MAX;ISG;1053;Turismo;2024-11-28;DOCUMENTO;0251LLK;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2024-10-29;DOCUMENTO;-30;1408;ACREDITADA;OK (ISG);OK 1408d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2024-10-29 en 2024-08-28..2025-05-28);OK (2024-11-28 > 2023-01-25);C_CONDICIONADO;SI;SI;baja por siniestro: acreditar con baja definitiva DGT, no con venta
6209MWV;CITROEN Ë-C3 ELÉCTRICO MAX;EMP.AG.POTABL.MALGRAT SA;1507;Turismo;2024-11-29;EXCEL;4223LJV;VOLKSWAGEN CADDY 2.0 TDI 102 CV;DIESEL;RENTING;VWRENTING;2024-12-09;DOCUMENTO;10;1554;ACREDITADA;OK (EMP.AG.POTABL.MALGRAT SA);OK 1554d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2024-12-09 en 2024-08-29..2025-05-29);OK (2024-11-29 > 2023-01-25);B_INDICIO;NO;SI;"confirmar fecha de adquisicion con factura o permiso de circulacion; solicitar carpeta documental del vehiculo nuevo"
6233MXY;CITROEN Ë-C3 ELÉCTRICO MAX;CGAC;1505;Turismo;2025-01-24;EXCEL;1192LPK;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2025-06-11;EXCEL;138;1461;ACREDITADA;OK (CGAC);OK 1461d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-06-11 en 2024-10-24..2025-07-24);OK (2025-01-24 > 2023-01-25);C_CONDICIONADO;NO;NO;"baja por siniestro: acreditar con baja definitiva DGT, no con venta; confirmar fecha de adquisicion con factura o permiso de circulacion; confirmar fecha de baja con el documento de entrega; aportar acta de devolucion firmada; solicitar carpeta documental del vehiculo nuevo; solicitar carpeta documental del vehiculo sustituido"
6245MWV;CITROEN Ë-C3 ELÉCTRICO MAX;E.Mixta Metropolitana, SA;1203;Turismo;2024-11-26;DOCUMENTO;3931LLT;SEAT ARONA 1.0 TSI 115 CV;GASOLINA;RENTING;AYVENS;2025-01-30;DOCUMENTO;65;1463;ACREDITADA;OK (E.Mixta Metropolitana, SA);OK 1463d >= 730d;OK (ELECTRICO <- GASOLINA);OK (Turismo);OK (2025-01-30 en 2024-08-26..2025-05-26);OK (2024-11-26 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6334MXF;RENAULT KANGOO VAN E-TECH ELECTRIC;AVSA;1001;Furgoneta/Furgón;2024-12-18;DOCUMENTO;6997LLV;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2025-02-08;EXCEL;52;1461;ACREDITADA;OK (AVSA);OK 1461d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2025-02-08 en 2024-09-18..2025-06-18);OK (2024-12-18 > 2023-01-25);B_INDICIO;SI;NO;"confirmar fecha de baja con el documento de entrega; aportar acta de devolucion firmada; solicitar carpeta documental del vehiculo sustituido"
6398MWV;CITROEN Ë-C3 ELÉCTRICO MAX;CGAC;1505;Turismo;2024-11-21;DOCUMENTO;0019LLR;SEAT LEON 1.6 TDI 115 CV;DIESEL;RENTING;AYVENS;2025-04-01;DOCUMENTO;131;1544;ACREDITADA;OK (CGAC);OK 1544d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-04-01 en 2024-08-21..2025-05-21);OK (2024-11-21 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6439MWV;CITROEN Ë-C3 ELÉCTRICO MAX;G.O.MEDIOAMBIENTE S.L.;1004;Turismo;2024-11-26;DOCUMENTO;0246LLK;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2025-04-11;DOCUMENTO;136;1572;ACREDITADA;OK (G.O.MEDIOAMBIENTE S.L.);OK 1572d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-04-11 en 2024-08-26..2025-05-26);OK (2024-11-26 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6442MWV;CITROEN Ë-C3 ELÉCTRICO MAX;G.O.MEDIOAMBIENTE S.L.;1004;Turismo;2024-11-26;DOCUMENTO;3942LLT;SEAT ARONA 1.0 TSI 115 CV;GASOLINA;RENTING;AYVENS;2025-03-14;DOCUMENTO;108;1506;ACREDITADA;OK (G.O.MEDIOAMBIENTE S.L.);OK 1506d >= 730d;OK (ELECTRICO <- GASOLINA);OK (Turismo);OK (2025-03-14 en 2024-08-26..2025-05-26);OK (2024-11-26 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6444MWV;CITROEN Ë-C3 ELÉCTRICO MAX;G.O.MEDIOAMBIENTE S.L.;1004;Turismo;2024-11-29;DOCUMENTO;4988LLY;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2025-01-19;DOCUMENTO;51;1461;ACREDITADA;OK (G.O.MEDIOAMBIENTE S.L.);OK 1461d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-01-19 en 2024-08-29..2025-05-29);OK (2024-11-29 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6445MWV;CITROEN Ë-C3 ELÉCTRICO MAX;CGAC;1505;Turismo;2024-11-29;DOCUMENTO;9413LKC;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2025-02-07;DOCUMENTO;70;1542;ACREDITADA;OK (CGAC);OK 1542d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-02-07 en 2024-08-29..2025-05-29);OK (2024-11-29 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6492MWV;CITROEN Ë-C3 ELÉCTRICO MAX;MEDICION AVANZADA CONTAD.;1021;Turismo;2024-11-29;DOCUMENTO;0818LKK;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2025-01-10;DOCUMENTO;42;1533;ACREDITADA;OK (MEDICION AVANZADA CONTAD.);OK 1533d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-01-10 en 2024-08-29..2025-05-29);OK (2024-11-29 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6493MWV;CITROEN Ë-C3 ELÉCTRICO MAX;MEDICION AVANZADA CONTAD.;1021;Turismo;2024-11-26;DOCUMENTO;8030LKY;SEAT ARONA 1.6 TDI 95 CV;DIESEL;RENTING;AYVENS;2025-01-16;DOCUMENTO;51;1507;ACREDITADA;OK (MEDICION AVANZADA CONTAD.);OK 1507d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-01-16 en 2024-08-26..2025-05-26);OK (2024-11-26 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6558MWV;CITROEN Ë-C3 ELÉCTRICO MAX;G.O.MEDIOAMBIENTE S.L.;1004;Turismo;2024-11-28;DOCUMENTO;9977LLM;RENAULT KANGOO 1.5 DCI 95 CV KOMBI;DIESEL;RENTING;AYVENS;2025-04-24;DOCUMENTO;147;1529;ACREDITADA;OK (G.O.MEDIOAMBIENTE S.L.);OK 1529d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2025-04-24 en 2024-08-28..2025-05-28);OK (2024-11-28 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
6559MWV;CITROEN Ë-C3 ELÉCTRICO MAX;G.O.MEDIOAMBIENTE S.L.;1004;Turismo;2024-11-25;DOCUMENTO;9019LBN;OPEL ASTRA 1.6 CDTI 110 CV;DIESEL;RENTING;AYVENS;2024-10-02;DOCUMENTO;-54;1818;ACREDITADA;OK (G.O.MEDIOAMBIENTE S.L.);OK 1818d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2024-10-02 en 2024-08-25..2025-05-25);OK (2024-11-25 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
7775MXF;RENAULT KANGOO VAN E-TECH ELECTRIC;GAMASER;1009;Furgoneta/Furgón;2024-12-18;DOCUMENTO;5969LLV;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2024-11-06;DOCUMENTO;-42;1374;ACREDITADA;OK (GAMASER);OK 1374d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2024-11-06 en 2024-09-18..2025-06-18);OK (2024-12-18 > 2023-01-25);C_CONDICIONADO;SI;SI;baja por siniestro: acreditar con baja definitiva DGT, no con venta
8349MXG;RENAULT KANGOO VAN E-TECH ELECTRIC;ISG;1053;Furgoneta/Furgón;2024-12-19;DOCUMENTO;5918LLV;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2025-02-05;DOCUMENTO;48;1469;ACREDITADA;OK (ISG);OK 1469d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2025-02-05 en 2024-09-19..2025-06-19);OK (2024-12-19 > 2023-01-25);C_CONDICIONADO;SI;SI;baja por siniestro: acreditar con baja definitiva DGT, no con venta
8597MWT;RENAULT KANGOO VAN E-TECH ELECTRIC;CGAC;1505;Furgoneta/Furgón;2024-11-28;DOCUMENTO;4938LMS;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2025-04-08;EXCEL;131;1461;ACREDITADA;OK (CGAC);OK 1461d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2025-04-08 en 2024-08-28..2025-05-28);OK (2024-11-28 > 2023-01-25);C_CONDICIONADO;SI;NO;"baja por siniestro: acreditar con baja definitiva DGT, no con venta; confirmar fecha de baja con el documento de entrega; aportar acta de devolucion firmada; solicitar carpeta documental del vehiculo sustituido"
8628MWT;RENAULT KANGOO VAN E-TECH ELECTRIC;CANALIZ. CIVILES S.A.;1066;Furgoneta/Furgón;2024-11-29;EXCEL;7399LLP;RENAULT MASTER L2H2 2.3 DCI 135 CV;DIESEL;RENTING;AYVENS;2025-04-23;EXCEL;145;1461;ACREDITADA;OK (CANALIZ. CIVILES S.A.);OK 1461d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2025-04-23 en 2024-08-29..2025-05-29);OK (2024-11-29 > 2023-01-25);C_CONDICIONADO;NO;NO;"baja por siniestro: acreditar con baja definitiva DGT, no con venta; confirmar fecha de adquisicion con factura o permiso de circulacion; confirmar fecha de baja con el documento de entrega; aportar acta de devolucion firmada; solicitar carpeta documental del vehiculo nuevo; solicitar carpeta documental del vehiculo sustituido"
8634MWT;RENAULT KANGOO VAN E-TECH ELECTRIC;CANALIZ. CIVILES S.A.;1066;Furgoneta/Furgón;2024-11-28;DOCUMENTO;9369LMG;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2025-03-31;EXCEL;123;1487;ACREDITADA;OK (CANALIZ. CIVILES S.A.);OK 1487d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2025-03-31 en 2024-08-28..2025-05-28);OK (2024-11-28 > 2023-01-25);B_INDICIO;SI;NO;"confirmar fecha de baja con el documento de entrega; aportar acta de devolucion firmada; solicitar carpeta documental del vehiculo sustituido"
8662NDJ;POLESTAR POLESTAR 2;EMIVASA;1200;Turismo;2025-07-04;EXCEL;1485LSB;RENAULT ARKANA TCE 140 CV;HÍBRIDO;RENTING;AYVENS;2025-06-04;DOCUMENTO;-30;1398;ACREDITADA;OK (EMIVASA);OK 1398d >= 730d;OK (ELECTRICO <- HÍBRIDO);OK (Turismo);OK (2025-06-04 en 2025-04-04..2026-01-04);OK (2025-07-04 > 2023-01-25);B_INDICIO;NO;SI;"confirmar fecha de adquisicion con factura o permiso de circulacion; solicitar carpeta documental del vehiculo nuevo"
8873KDN;RENAULT ZOE 40;GAMASER;1009;Turismo;2023-11-01;EXCEL;1751LHM;VOLKSWAGEN T-ROC 1.6 TDI 115 CV;DIESEL;RENTING;VWRENTING;2023-08-31;EXCEL;-62;1155;ACREDITADA;OK (GAMASER);OK 1155d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2023-08-31 en 2023-08-01..2024-05-01);OK (2023-11-01 > 2023-01-25);B_INDICIO;NO;SI;"confirmar fecha de adquisicion con factura o permiso de circulacion; confirmar fecha de baja con el documento de entrega; aportar acta de devolucion firmada; solicitar carpeta documental del vehiculo nuevo"
8994MSH;NISSAN TOWNSTAR;CGAC;1505;Furgoneta/Furgón;2024-06-10;DOCUMENTO;6756LLV;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2024-06-28;DOCUMENTO;18;1201;ACREDITADA;OK (CGAC);OK 1201d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2024-06-28 en 2024-03-10..2024-12-10);OK (2024-06-10 > 2023-01-25);C_CONDICIONADO;SI;SI;baja por siniestro: acreditar con baja definitiva DGT, no con venta
9050MWN;CITROEN Ë-C3 ELÉCTRICO MAX;AVSA;1001;Turismo;2024-11-21;DOCUMENTO;8298KZS;OPEL ASTRA 1.6 CDTI 110 CV;DIESEL;RENTING;AYVENS;2024-09-10;DOCUMENTO;-72;1819;ACREDITADA;OK (AVSA);OK 1819d >= 730d;OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2024-09-10 en 2024-08-21..2025-05-21);OK (2024-11-21 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
